date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
01/04/1979,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1979,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1979,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1979,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/08/1979,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1979,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1979,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1979,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1979,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1980,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1980,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1980,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1980,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1980,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1980,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1980,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1980,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1980,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1980,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1980,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1980,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1981,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1981,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1981,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1981,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1981,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1981,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1981,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1981,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1981,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1981,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1981,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1981,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1982,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1982,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1982,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1982,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1982,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1982,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1982,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1982,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1982,10,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1982,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1982,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1982,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1983,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1983,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1983,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1983,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1983,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1983,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1983,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1983,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/09/1983,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1983,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1983,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1983,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1984,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/02/1984,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1984,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1984,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/05/1984,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1984,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1984,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1984,12,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1984,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1984,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1984,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1984,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1985,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1985,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1985,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1985,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1985,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1985,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1985,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1985,12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1985,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1985,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/11/1985,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1985,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1986,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/02/1986,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1986,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1986,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1986,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1986,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1986,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1986,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1986,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/11/1986,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1986,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1987,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1987,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1987,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01/04/1987,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1987,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1987,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1987,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1987,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/09/1987,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1987,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1987,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1987,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1988,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1988,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/03/1988,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1988,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1988,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1988,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1988,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01/08/1988,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
01/09/1988,8,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
01/10/1988,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1988,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1988,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/01/1989,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1989,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1989,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1989,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1989,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1989,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1989,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1989,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1989,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1989,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1989,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1989,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1990,5,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/02/1990,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1990,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/04/1990,9,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/05/1990,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1990,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1990,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/08/1990,10,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/09/1990,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1990,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/11/1990,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1990,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1991,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1991,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1991,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1991,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1991,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1991,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1991,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1991,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1991,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1991,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1991,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1991,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
01/01/1992,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/02/1992,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
01/03/1992,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/04/1992,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
01/05/1992,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
01/06/1992,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/07/1992,0,5,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
01/08/1992,0,3,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0
01/09/1992,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
01/10/1992,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
01/11/1992,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
01/12/1992,0,2,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0
01/01/1993,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/02/1993,0,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
01/03/1993,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/04/1993,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
01/05/1993,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
01/06/1993,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/07/1993,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/08/1993,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
01/09/1993,0,2,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0
01/10/1993,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0
01/11/1993,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/12/1993,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/01/1994,0,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
01/02/1994,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
01/03/1994,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/04/1994,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/05/1994,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
01/06/1994,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/07/1994,0,1,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0
01/08/1994,0,5,0,2,1,0,0,1,0,0,0,5,0,0,0,0,0,0
01/09/1994,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/10/1994,0,2,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0
01/11/1994,0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0
01/12/1994,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
01/01/1995,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
01/02/1995,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/03/1995,0,3,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
01/04/1995,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
01/05/1995,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/06/1995,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/07/1995,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/08/1995,0,3,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/09/1995,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/10/1995,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/11/1995,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
01/12/1995,0,4,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0
01/01/1996,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/02/1996,0,4,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
01/03/1996,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01/04/1996,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/05/1996,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/06/1996,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/07/1996,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
01/08/1996,0,1,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0
01/09/1996,0,3,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
01/10/1996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/11/1996,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/12/1996,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/01/1997,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/02/1997,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
01/03/1997,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1997,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/05/1997,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0
01/06/1997,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
01/07/1997,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/08/1997,0,5,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0
01/09/1997,0,4,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0
01/10/1997,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
01/11/1997,1,4,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
01/12/1997,2,4,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
01/01/1998,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
01/02/1998,0,5,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
01/03/1998,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/04/1998,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
01/05/1998,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
01/06/1998,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/07/1998,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
01/08/1998,0,3,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0
01/09/1998,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/10/1998,0,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/11/1998,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/12/1998,0,3,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0
01/01/1999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1999,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
01/03/1999,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
01/04/1999,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/05/1999,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
01/06/1999,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
01/07/1999,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/08/1999,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/09/1999,2,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/10/1999,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0
01/11/1999,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
01/12/1999,0,6,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
01/01/2000,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
01/02/2000,0,4,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0
01/03/2000,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
01/04/2000,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/05/2000,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
01/06/2000,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
01/07/2000,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
01/08/2000,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
01/09/2000,0,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0
01/10/2000,0,4,0,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0
01/11/2000,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
01/12/2000,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
