Position;Date;Event;Crew;Vehicle;Country
1961,27671;12.04.61;First Human Entered Space;Yuri Alekseyevich Gagarin;Vostok 1;UdSSR
1969,53699;20.07.69;The First Person on the Moon;[Neil A. Armstrong, Michael Collins, Edwin E. Aldrin Jr.];Apollo 11;USA
1970,95342;15.12.70;First successful landing on another planet (Venus);Venera 7;Molniya 8K78M;UdSSR
1971,91781;02.12.71;First successful Mars landing;Mars 3;Proton-K;UdSSR
1998,88493;20.11.98;International Space Station;Various Humans;Various Rockets;Global
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;