date,Russia,USA,China,Brazil,Australia,Europe,Asia
1957.75,1,0,0,0,0,0,0
1957.833,1,1,0,0,0,0,0
1957.917,1,2,0,0,0,0,0
1958,1,2,0,0,0,0,0
1958.083,1,4,0,0,0,0,0
1958.167,2,6,0,0,0,0,0
1958.25,3,7,0,0,0,0,0
1958.333,3,9,0,0,0,0,0
1958.417,3,10,0,0,0,0,0
1958.5,3,12,0,0,0,0,0
1958.583,4,18,0,0,0,0,0
1958.667,5,20,0,0,0,0,0
1958.75,5,22,0,0,0,0,0
1958.833,6,22,0,0,0,0,0
1958.917,7,24,0,0,0,0,0
1959,7,25,0,0,0,0,0
1959.083,7,27,0,0,0,0,0
1959.167,7,28,0,0,0,0,0
1959.25,7,30,0,0,0,0,0
1959.333,7,30,0,0,0,0,0
1959.417,8,33,0,0,0,0,0
1959.5,8,34,0,0,0,0,0
1959.583,8,39,0,0,0,0,0
1959.667,10,42,0,0,0,0,0
1959.75,10,44,0,0,0,0,0
1959.833,10,48,0,0,0,0,0
1959.917,10,49,0,0,0,0,0
1960,10,50,0,0,0,0,0
1960.083,10,53,0,0,0,0,0
1960.167,10,55,0,0,0,0,0
1960.25,12,58,0,0,0,0,0
1960.333,13,60,0,0,0,0,0
1960.417,14,61,0,0,0,0,0
1960.5,14,63,0,0,0,0,0
1960.583,15,67,0,0,0,0,0
1960.667,15,71,0,0,0,0,0
1960.75,17,74,0,0,0,0,0
1960.833,18,79,0,0,0,0,0
1960.917,19,86,0,0,0,0,0
1961,20,86,0,0,0,0,0
1961.083,22,92,0,0,0,0,0
1961.167,23,97,0,0,0,0,0
1961.25,24,102,0,0,0,0,0
1961.333,24,104,0,0,0,0,0
1961.417,24,108,0,0,0,0,0
1961.5,24,113,0,0,0,0,0
1961.583,25,119,0,0,0,0,0
1961.667,25,123,0,0,0,0,0
1961.75,26,128,0,0,0,0,0
1961.833,26,135,0,0,0,0,0
1961.917,28,138,0,0,0,0,0
1962,28,141,0,0,0,0,0
1962.083,28,146,0,0,0,0,0
1962.167,30,147,0,0,0,0,0
1962.25,32,156,0,0,0,0,0
1962.333,34,161,0,0,0,0,0
1962.417,35,168,0,0,0,0,0
1962.5,36,174,0,0,0,0,0
1962.583,41,180,0,0,0,0,0
1962.667,43,185,0,0,0,0,0
1962.75,48,191,0,0,0,0,0
1962.833,49,196,0,0,0,0,0
1962.917,51,202,0,0,0,0,0
1963,52,205,0,0,0,0,0
1963.083,52,209,0,0,0,0,0
1963.167,53,211,0,0,0,0,0
1963.25,58,216,0,0,0,0,0
1963.333,61,219,0,0,0,0,0
1963.417,63,229,0,0,0,0,0
1963.5,64,235,0,0,0,0,0
1963.583,65,240,0,0,0,0,0
1963.667,65,244,0,0,0,0,0
1963.75,68,246,0,0,0,0,0
1963.833,71,251,0,0,0,0,0
1963.917,73,256,0,0,0,0,0
1964,74,262,0,0,0,0,0
1964.083,76,265,0,0,0,0,0
1964.167,80,268,0,0,0,1,0
1964.25,84,274,0,0,0,1,0
1964.333,86,278,0,0,0,1,0
1964.417,90,283,0,0,0,1,0
1964.5,93,289,0,0,0,1,0
1964.583,98,296,0,0,0,1,0
1964.667,100,301,0,0,0,1,0
1964.75,106,308,0,0,0,1,0
1964.833,108,315,0,0,0,1,0
1964.917,110,324,0,0,0,1,0
1965,111,331,0,0,0,1,0
1965.083,116,336,0,0,0,1,0
1965.167,121,345,0,0,0,1,0
1965.25,124,351,0,0,0,1,0
1965.333,127,362,0,0,0,1,0
1965.417,131,369,0,0,0,1,0
1965.5,137,375,0,0,0,1,0
1965.583,139,383,0,0,0,1,0
1965.667,144,387,0,0,0,1,0
1965.75,149,394,0,0,0,1,0
1965.833,156,398,0,0,0,2,0
1965.917,164,406,0,0,0,3,0
1966,167,410,0,0,0,3,0
1966.083,174,416,0,0,0,4,0
1966.167,180,424,0,0,0,4,0
1966.25,183,430,0,0,0,4,0
1966.333,188,438,0,0,0,4,0
1966.417,191,447,0,0,0,4,0
1966.5,196,454,0,0,0,4,0
1966.583,199,464,0,0,0,4,0
1966.667,201,471,0,0,0,4,1
1966.75,205,477,0,0,0,4,1
1966.833,211,483,0,0,0,4,1
1966.917,216,491,0,0,0,4,2
1967,218,496,0,0,0,4,2
1967.083,224,502,0,0,0,6,2
1967.167,233,506,0,0,0,6,2
1967.25,237,515,0,0,0,6,3
1967.333,244,520,0,0,0,8,3
1967.417,252,526,0,0,0,8,3
1967.5,256,532,0,0,0,8,3
1967.583,261,535,0,0,0,8,3
1967.667,270,541,0,0,0,8,3
1967.75,280,547,0,0,0,8,3
1967.833,286,552,0,0,0,9,3
1967.917,290,557,0,0,0,9,3
1968,293,562,0,0,0,9,3
1968.083,297,563,0,0,0,9,3
1968.167,305,567,0,0,0,9,3
1968.25,317,571,0,0,0,9,3
1968.333,323,573,0,0,0,10,3
1968.417,331,577,0,0,0,10,3
1968.5,338,580,0,0,0,10,3
1968.583,343,587,0,0,0,10,3
1968.667,349,591,0,0,0,10,3
1968.75,360,594,0,0,0,11,3
1968.833,367,597,0,0,0,12,3
1968.917,373,604,0,0,0,12,3
1969,381,607,0,0,0,12,3
1969.083,386,613,0,0,0,12,3
1969.167,397,617,0,0,0,12,3
1969.25,403,621,0,0,0,12,3
1969.333,408,625,0,0,0,12,3
1969.417,412,628,0,0,0,13,3
1969.5,419,633,0,0,0,13,3
1969.583,426,637,0,0,0,13,3
1969.667,430,639,0,0,0,14,4
1969.75,442,640,0,0,0,14,4
1969.833,448,642,0,0,0,15,4
1969.917,455,643,0,0,0,15,4
1970,460,647,0,0,0,15,4
1970.083,465,649,0,0,0,15,5
1970.167,470,650,0,0,0,16,5
1970.25,479,655,1,0,0,16,5
1970.333,482,656,1,0,0,16,5
1970.417,492,658,1,0,0,17,5
1970.5,497,660,1,0,0,17,5
1970.583,503,665,1,0,0,17,5
1970.667,511,666,1,0,0,18,6
1970.75,524,668,1,0,0,18,6
1970.833,532,671,1,0,0,18,6
1970.917,542,673,1,0,0,19,6
1971,546,677,1,0,0,19,6
1971.083,552,679,2,0,0,19,7
1971.167,557,683,2,0,0,19,7
1971.25,567,685,2,0,0,21,7
1971.333,579,687,2,0,0,21,7
1971.417,584,690,2,0,0,21,7
1971.5,591,692,2,0,0,21,7
1971.583,597,694,2,0,0,22,7
1971.667,606,697,2,0,0,22,8
1971.75,610,701,2,0,0,23,8
1971.833,619,703,2,0,0,24,8
1971.917,633,706,2,0,0,26,8
1972,635,709,2,0,0,26,8
1972.083,639,711,2,0,0,26,8
1972.167,648,715,2,0,0,26,8
1972.25,657,717,2,0,0,26,8
1972.333,662,719,2,0,0,26,8
1972.417,671,720,2,0,0,26,8
1972.5,680,722,2,0,0,26,8
1972.583,684,725,2,0,0,26,9
1972.667,690,728,2,0,0,26,9
1972.75,700,730,2,0,0,26,9
1972.833,705,733,2,0,0,27,9
1972.917,712,738,2,0,0,27,9
1973,717,738,2,0,0,27,9
1973.083,722,738,2,0,0,27,9
1973.167,726,740,2,0,0,27,9
1973.25,733,742,2,0,0,27,9
1973.333,741,745,2,0,0,28,9
1973.417,749,748,2,0,0,28,9
1973.5,754,751,2,0,0,28,9
1973.583,763,754,2,0,0,28,9
1973.667,768,755,3,0,0,28,9
1973.75,781,757,3,0,0,28,9
1973.833,791,761,3,0,0,28,9
1973.917,801,763,3,0,0,28,9
1974,804,764,3,0,0,28,9
1974.083,808,766,3,0,0,29,10
1974.167,812,767,3,0,0,30,10
1974.25,824,769,3,0,0,30,10
1974.333,831,772,3,0,0,30,10
1974.417,841,773,3,0,0,30,10
1974.5,850,775,4,0,0,30,10
1974.583,858,778,4,0,0,30,10
1974.667,861,779,4,0,0,30,10
1974.75,871,780,4,0,0,31,10
1974.833,877,783,5,0,0,31,10
1974.917,886,785,5,0,0,31,10
1975,892,786,5,0,0,31,10
1975.083,897,789,5,0,0,32,11
1975.167,903,789,5,0,0,32,11
1975.25,915,794,5,0,0,32,11
1975.333,922,797,5,0,0,33,11
1975.417,931,801,5,0,0,33,11
1975.5,939,803,6,0,0,33,11
1975.583,944,805,6,0,0,33,11
1975.667,956,807,6,0,0,34,12
1975.75,962,811,6,0,0,34,12
1975.833,969,812,7,0,0,34,12
1975.917,979,816,8,0,0,34,12
1976,986,819,8,0,0,34,12
1976.083,992,821,8,0,0,34,14
1976.167,1000,824,8,0,0,34,14
1976.25,1005,827,8,0,0,34,14
1976.333,1014,830,8,0,0,34,14
1976.417,1023,833,8,0,0,34,14
1976.5,1036,837,8,0,0,34,14
1976.583,1043,839,9,0,0,34,14
1976.667,1051,841,9,0,0,34,14
1976.75,1061,842,9,0,0,34,14
1976.833,1068,842,10,0,0,34,14
1976.917,1080,843,11,0,0,34,14
1977,1083,844,11,0,0,34,14
1977.083,1091,845,11,0,0,34,16
1977.167,1098,847,11,0,0,34,16
1977.25,1105,848,11,0,0,34,16
1977.333,1112,852,11,0,0,34,16
1977.417,1124,855,11,0,0,34,16
1977.5,1138,856,11,0,0,34,16
1977.583,1146,859,11,0,0,34,16
1977.667,1160,863,11,0,0,34,16
1977.75,1166,866,11,0,0,34,16
1977.833,1169,866,11,0,0,34,16
1977.917,1181,869,11,0,0,34,16
1978,1190,871,12,0,0,34,17
1978.083,1196,874,12,0,0,34,18
1978.167,1205,878,12,0,0,34,18
1978.25,1207,882,12,0,0,34,18
1978.333,1218,885,12,0,0,34,18
1978.417,1227,890,12,0,0,34,18
1978.5,1232,892,12,0,0,34,18
1978.583,1238,894,12,0,0,34,18
1978.667,1243,894,12,0,0,34,19
1978.75,1254,897,12,0,0,34,19
1978.833,1259,899,12,0,0,34,19
1978.917,1272,902,12,0,0,34,19
1979,1278,903,12,0,0,34,20
1979.083,1288,905,12,0,0,34,21
1979.167,1294,906,12,0,0,34,21
1979.25,1303,907,12,0,0,34,21
1979.333,1310,908,12,0,0,35,21
1979.417,1322,911,12,0,0,35,21
1979.5,1331,911,13,0,0,35,21
1979.583,1339,913,13,0,0,35,21
1979.667,1343,915,13,0,0,35,21
1979.75,1353,916,13,0,0,35,21
1979.833,1356,917,13,0,0,35,21
1979.917,1361,918,13,0,0,36,21
1980,1368,920,13,0,0,36,21
1980.083,1372,923,13,0,0,36,23
1980.167,1378,923,13,0,0,36,23
1980.25,1388,924,13,0,0,36,23
1980.333,1395,925,13,0,0,37,23
1980.417,1406,926,13,0,0,37,23
1980.5,1417,928,13,0,0,37,23
1980.583,1421,928,13,0,0,37,23
1980.667,1428,929,13,0,0,37,23
1980.75,1436,930,13,0,0,37,23
1980.833,1442,931,13,0,0,37,23
1980.917,1450,934,13,0,0,37,23
1981,1460,934,13,0,0,37,23
1981.083,1467,936,13,0,0,37,25
1981.167,1478,937,13,0,0,37,25
1981.25,1485,939,13,0,0,37,25
1981.333,1492,943,13,0,0,37,25
1981.417,1500,944,13,0,0,38,25
1981.5,1507,945,13,0,0,38,25
1981.583,1519,947,13,0,0,38,26
1981.667,1531,948,14,0,0,38,26
1981.75,1539,950,14,0,0,38,26
1981.833,1545,952,14,0,0,38,26
1981.917,1550,954,14,0,0,39,26
1982,1556,956,14,0,0,39,26
1982.083,1562,957,14,0,0,39,26
1982.167,1572,960,14,0,0,39,26
1982.25,1582,961,14,0,0,39,26
1982.333,1595,962,14,0,0,39,26
1982.417,1610,964,14,0,0,39,26
1982.5,1619,965,14,0,0,39,26
1982.583,1628,966,14,0,0,39,26
1982.667,1638,967,15,0,0,40,27
1982.75,1645,969,15,0,0,40,27
1982.833,1650,971,15,0,0,40,27
1982.917,1658,972,15,0,0,40,27
1983,1662,973,15,0,0,40,28
1983.083,1668,974,15,0,0,40,29
1983.167,1678,975,15,0,0,40,29
1983.25,1691,980,15,0,0,40,29
1983.333,1699,982,15,0,0,40,29
1983.417,1707,987,15,0,0,41,29
1983.5,1716,990,15,0,0,41,29
1983.583,1726,991,16,0,0,41,30
1983.667,1735,993,16,0,0,41,30
1983.75,1743,993,16,0,0,42,30
1983.833,1749,995,16,0,0,42,30
1983.917,1758,995,16,0,0,42,30
1984,1764,996,17,0,0,42,31
1984.083,1771,999,17,0,0,42,32
1984.167,1781,999,17,0,0,43,32
1984.25,1787,1002,18,0,0,43,32
1984.333,1798,1002,18,0,0,44,32
1984.417,1812,1005,18,0,0,44,32
1984.5,1819,1005,18,0,0,44,32
1984.583,1831,1008,18,0,0,45,33
1984.667,1840,1010,19,0,0,45,33
1984.75,1843,1013,19,0,0,45,33
1984.833,1849,1015,19,0,0,46,33
1984.917,1854,1017,19,0,0,46,34
1985,1863,1018,19,0,0,46,34
1985.083,1869,1019,19,0,0,47,34
1985.167,1875,1021,19,0,0,47,34
1985.25,1881,1023,19,0,0,48,34
1985.333,1889,1023,19,0,0,48,34
1985.417,1899,1025,19,0,0,49,34
1985.5,1906,1026,19,0,0,49,34
1985.583,1918,1029,19,0,0,49,35
1985.667,1927,1030,19,0,0,50,35
1985.75,1940,1033,20,0,0,50,35
1985.833,1945,1034,20,0,0,50,35
1985.917,1955,1035,20,0,0,50,35
1986,1963,1037,21,0,0,50,35
1986.083,1971,1038,21,0,0,51,36
1986.167,1976,1038,21,0,0,52,36
1986.25,1981,1040,21,0,0,52,36
1986.333,1992,1040,21,0,0,53,36
1986.417,1999,1040,21,0,0,53,36
1986.5,2007,1040,21,0,0,53,36
1986.583,2015,1040,21,0,0,53,37
1986.667,2021,1042,21,0,0,53,37
1986.75,2031,1042,22,0,0,53,37
1986.833,2040,1043,22,0,0,53,37
1986.917,2049,1044,22,0,0,53,37
1987,2059,1044,22,0,0,53,37
1987.083,2068,1046,22,0,0,53,39
1987.167,2074,1048,22,0,0,53,40
1987.25,2082,1048,22,0,0,53,40
1987.333,2091,1049,22,0,0,53,40
1987.417,2098,1050,22,0,0,53,40
1987.5,2108,1050,22,0,0,53,40
1987.583,2114,1050,23,0,0,53,41
1987.667,2122,1051,24,0,0,54,41
1987.75,2129,1052,24,0,0,54,41
1987.833,2133,1053,24,0,0,55,41
1987.917,2146,1053,24,0,0,55,41
1988,2152,1054,24,0,0,55,41
1988.083,2156,1055,25,0,0,55,42
1988.167,2169,1056,25,0,0,56,42
1988.25,2175,1057,25,0,0,56,42
1988.333,2186,1057,25,0,0,57,42
1988.417,2192,1058,25,0,0,58,42
1988.5,2203,1058,25,0,0,59,43
1988.583,2211,1059,26,0,0,60,43
1988.667,2219,1062,27,0,0,61,45
1988.75,2224,1063,27,0,0,62,45
1988.833,2231,1064,27,0,0,62,45
1988.917,2240,1064,28,0,0,63,45
1989,2248,1064,28,0,0,64,45
1989.083,2255,1065,28,0,0,64,46
1989.167,2259,1067,28,0,0,66,46
1989.25,2264,1068,28,0,0,66,46
1989.333,2270,1069,28,0,0,66,46
1989.417,2278,1071,28,0,0,67,46
1989.5,2287,1071,28,0,0,68,46
1989.583,2291,1075,28,0,0,69,46
1989.667,2301,1077,28,0,0,69,47
1989.75,2304,1079,28,0,0,70,47
1989.833,2310,1081,28,0,0,70,47
1989.917,2314,1083,28,0,0,70,47
1990,2319,1085,29,0,0,71,48
1990.083,2326,1088,29,0,0,72,49
1990.167,2330,1089,29,0,0,72,50
1990.25,2339,1093,30,0,0,72,50
1990.333,2345,1095,30,0,0,72,50
1990.417,2351,1098,30,0,0,72,50
1990.5,2358,1099,31,0,0,73,50
1990.583,2368,1101,32,0,0,74,51
1990.667,2374,1102,32,0,0,74,51
1990.75,2377,1104,33,0,0,75,51
1990.833,2383,1108,33,0,0,76,51
1990.917,2393,1110,33,0,0,76,51
1991,2398,1110,33,0,0,77,51
1991.083,2405,1110,33,0,0,78,51
1991.167,2413,1112,33,0,0,79,51
1991.25,2415,1117,33,0,0,79,51
1991.333,2421,1118,33,0,0,79,51
1991.417,2427,1120,33,0,0,79,51
1991.5,2431,1122,33,0,0,80,51
1991.583,2437,1124,33,0,0,81,53
1991.667,2442,1124,33,0,0,82,53
1991.75,2447,1125,33,0,0,83,53
1991.833,2451,1128,33,0,0,83,53
1991.917,2455,1128,34,0,0,84,53
1992,2459,1129,34,0,0,84,53
1992.083,2461,1131,34,0,0,85,54
1992.167,2464,1133,34,0,0,85,54
1992.25,2470,1136,34,0,0,86,54
1992.333,2472,1137,34,0,0,86,55
1992.417,2475,1140,34,0,0,86,55
1992.5,2483,1145,34,0,0,87,55
1992.583,2486,1148,36,0,0,88,55
1992.667,2488,1150,37,0,0,89,55
1992.75,2496,1152,37,0,0,90,55
